chunk_id,doc_id,source_file,page_no_start,page_no_end,section_heading,chunk_text
rbi_credit_risk_management_p1_c1,rbi_credit_risk_management,rbi_credit_risk_management.pdf,1,1,,"Guidance Note on Credit Risk Management BP.BC. 26 /21.04.103/2001 September 20, 2001 All Commercial Banks Dear Sir, Guidance Note on Credit Risk Management Please refer to our circular DBOD.BP.SC. 98/21.04.103/99 dated October 7, 1999 covering broad contours for management of credit, liquidity, interest rate, foreign exchange and operational risks. These guidelines, together with the guidelines on Asset-Liability Management were purported to serve as a benchmark to those banks, which have not established integrated risk management systems. 2. As a step towards enhancing and fine-tuning the existing risk management practices in banks, a Working Group on Credit Risk was constituted in Reserve Bank of India drawing experts from select banks and FIs for preparing detailed Guidance Notes on Credit Risk Management by banks. The Working Group has identified further steps which are required to be taken by the banks for improving their existing risk management framework, suiting to Indian conditions. On the basis of the feedback received from the members of the Working Group, a draft Guidance Note on Credit Risk has been prepared and placed on the RBI website (http://www.rbi.org.in). 3. Banks are advised to study the guidance note and forward to us their comments, if any, by October 15, 2001 positively. Yours faithfully, (M.R. Srinivasan) Chief General Manager-in-Charge Guidance Note on Credit Risk Management 1. Credit Risk Management: Policy"
rbi_credit_risk_management_p1_c2,rbi_credit_risk_management,rbi_credit_risk_management.pdf,1,1,,"3. Banks are advised to study the guidance note and forward to us their comments, if any, by October 15, 2001 positively. Yours faithfully, (M.R. Srinivasan) Chief General Manager-in-Charge Guidance Note on Credit Risk Management 1. Credit Risk Management: Policy Framework 1.1 Risk is inherent in all aspects of a commercial operation and covers areas such as customer services, reputation, technology, security, human resources, market price, funding, legal, regulatory, fraud and strategy. However, for banks and financial institutions, credit risk is the most important factor to be managed. Credit risk is defined as the possibility that a borrower or counterparty will fail to meet its obligations in accordance with agreed terms. Credit"
rbi_credit_risk_management_p2_c1,rbi_credit_risk_management,rbi_credit_risk_management.pdf,2,2,,"risk, therefore, arises from the banks' dealings with or lending to a corporate, individual, another bank, financial institution or a country. Credit risk may take various forms, such as: ? in the case of direct lending, that funds will not be repaid; ? in the case of guarantees or letters of credit, that funds will not be forthcoming from the customer upon crystallization of the liability under the contract; ? in the case of treasury products, that the payment or series of payments due from the counterparty under the respective contracts is not forthcoming or ceases; ? in the case of securities trading businesses, that settlement will not be effected; ? in the case of cross-border exposure, that the availability and free transfer of currency is restricted or ceases. 1.1.2 The more diversified a banking group is, the more intricate systems it would need, to protect itself from a wide variety of risks. These include the routine operational risks applicable to any commercial concern, the business risks to its commercial borrowers, the economic and political risks associated with the countries in which it operates, and the commercial and the reputational risks concomitant with a failure to comply with the increasingly stringent legislation and regulations surrounding financial services business in many territories. Comprehensive risk identification and assessment are therefore very essential"
rbi_credit_risk_management_p2_c2,rbi_credit_risk_management,rbi_credit_risk_management.pdf,2,2,,"in which it operates, and the commercial and the reputational risks concomitant with a failure to comply with the increasingly stringent legislation and regulations surrounding financial services business in many territories. Comprehensive risk identification and assessment are therefore very essential to establishing the health of any counterparty. 1.1.3 Credit risk management enables banks to identify, assess, manage proactively, and optimise their credit risk at an individual level or at an entity level or at the level of a country. Given the fast changing, dynamic world scenario experiencing the pressures of globalisation, liberalization, consolidation and disintermediation, it is important that banks have a robust credit risk management policies and procedures which is sensitive and responsive to these changes. 1.1.4 The quality of the credit risk management function will be the key driver of the changes to the level of shareholder return. Industry analysts have demonstrated that the average shareholder return of the best credit performance US banks during 1989 – 1997 was 56% higher than their peers. Low loan loss banks stage a quicker share price recovery than their peers, and in a credit downturn, the market rewards the banks with the best credit performance with a moderate price decline relative to their peers. 1.2 Building Blocks on Credit Risk: In any bank, the corporate goals and credit culture are closely"
rbi_credit_risk_management_p2_c3,rbi_credit_risk_management,rbi_credit_risk_management.pdf,2,2,,"in a credit downturn, the market rewards the banks with the best credit performance with a moderate price decline relative to their peers. 1.2 Building Blocks on Credit Risk: In any bank, the corporate goals and credit culture are closely linked, and an effective credit risk management framework requires the following distinct building blocks:"
rbi_credit_risk_management_p3_c1,rbi_credit_risk_management,rbi_credit_risk_management.pdf,3,3,,"1.2.1 Strategy and Policy This covers issues such as the definition of the credit appetite, the development of credit guidelines and the identification and the assessment of the credit risk. 1.2.2 Organisation This would entail the establishment of competencies and clear accountabilities for managing the credit risk. 1.2.3 Operations/Systems MIS requirements of the senior and middle management, and the development of tools and techniques will come under this domain. 1.3 Strategy and Policy 1.3.1 It is essential that each bank develops its own credit risk strategy or enunciates a plan that defines the objectives for the credit-granting function. This strategy should spell out clearly the organisation’s credit appetite and the acceptable level of risk - reward trade-off at both the macro and the micro levels. 1.3.2 The strategy would therefore, include a statement of the bank’s willingness to grant loans based on the type of economic activity, geographical location, currency, market, maturity and anticipated profitability. This would necessarily translate into the identification of target markets and business sectors, preferred levels of diversification and concentration, the cost of capital in granting credit and the cost of bad debts. 1.3.3 The policy document should cover issues such as organizational responsibilities, risk measurement and aggregation techniques, prudential requirements, risk assessment and review, reporting requirements, risk grading, product guidelines, documentation, legal issues and management"
rbi_credit_risk_management_p3_c2,rbi_credit_risk_management,rbi_credit_risk_management.pdf,3,3,,"credit and the cost of bad debts. 1.3.3 The policy document should cover issues such as organizational responsibilities, risk measurement and aggregation techniques, prudential requirements, risk assessment and review, reporting requirements, risk grading, product guidelines, documentation, legal issues and management of problem loans. Loan policies apart from ensuring consistency in credit practices, should also provide a vital link to the other functions of the bank. It has been empirically proved that organisations with sound and well-articulated loan policies have been able to contain the loan losses arising from poor loan structuring and perfunctory risk assessments. 1.3.4 The credit risk strategy should provide continuity in approach, and will need to take into account the cyclical aspects of any economy and the resulting shifts in the composition and quality of the overall credit portfolio. This strategy should be viable in the long run and through various credit cycles. 1.3.5 An organisation's risk appetite depends on the level of capital and the quality of loan book and the magnitude of other risks embedded in the balance sheet. Based on its capital structure, a bank will be able to set its target returns to its shareholders and this will"
rbi_credit_risk_management_p4_c1,rbi_credit_risk_management,rbi_credit_risk_management.pdf,4,4,,"1.3.6 Keeping in view the foregoing, a bank should have the following in place: i. dedicated policies and procedures to control exposures to designated higher risk sectors such as capital markets, aviation, shipping, property development, defence equipment, highly leveraged transactions, bullion etc. ii. sound procedures to ensure that all risks associated with requested credit facilities are promptly and fully evaluated by the relevant lending and credit officers. iii. systems to assign a risk rating to each customer/borrower to whom credit facilities have been sanctioned. iv. a mechanism to price facilities depending on the risk grading of the customer, and to attribute accurately the associated risk weightings to the facilities. v. efficient and effective credit approval process operating within the approval limits authorized by the Boards. vi. procedures and systems which allow for monitoring financial performance of customers and for controlling outstandings within limits. vii. systems to manage problem loans to ensure appropriate restructuring schemes. A conservative policy for the provisioning of non-performing advances should be followed. viii. a process to conduct regular analysis of the portfolio and to ensure on-going control of risk concentrations. 1.4 Credit Policies and Procedures The credit policies and procedures should necessarily have the following elements: ? Banks should have written credit policies that define target markets, risk acceptance criteria, credit approval authority, credit origination and"
rbi_credit_risk_management_p4_c2,rbi_credit_risk_management,rbi_credit_risk_management.pdf,4,4,,"control of risk concentrations. 1.4 Credit Policies and Procedures The credit policies and procedures should necessarily have the following elements: ? Banks should have written credit policies that define target markets, risk acceptance criteria, credit approval authority, credit origination and maintenance procedures and guidelines for portfolio management and remedial management. ? Banks should establish proactive credit risk management practices like annual / half yearly industry studies and individual obligor reviews, periodic credit calls that are documented, periodic plant visits, and at least quarterly management reviews of troubled exposures/weak credits. ? Business managers in banks will be accountable for managing risk and in conjunction with credit risk management framework for establishing and maintaining appropriate risk limits and risk management procedures for their businesses. ? Banks should have a system of checks and balances in place around the extension of credit which are: ? An independent credit risk management function"
rbi_credit_risk_management_p5_c1,rbi_credit_risk_management,rbi_credit_risk_management.pdf,5,5,,"? Multiple credit approvers ? An independent audit and risk review function ? The Credit Approving Authority to extend or approve credit will be granted to individual credit officers based upon a consistent set of standards of experience, judgment and ability. ? The level of authority required to approve credit will increase as amounts and transaction risks increase and as risk ratings worsen. ? Every obligor and facility must be assigned a risk rating. ? Banks should ensure that there are consistent standards for the origination, documentation and maintenance for extensions of credit. ? Banks should have a consistent approach toward early problem recognition, the classification of problem exposures, and remedial action. ? Banks should maintain a diversified portfolio of risk assets in line with the capital desired to support such a portfolio. ? Credit risk limits include, but are not limited to, obligor limits and concentration limits by industry or geography. ? In order to ensure transparency of risks taken, it is the responsibility of banks to accurately, completely and in a timely fashion, report the comprehensive set of credit risk data into the independent risk system. 1.5 Organizational Structure 1.5.1 A common feature of most successful banks is to establish an independent group responsible for credit risk management. This will ensure that decisions are made with sufficient emphasis"
